# # alphas_L2,errors_L2,lambdas_L2,errors_L1,lambdas_L1,errors_Huber,lambdas_Huber,huber_params,errors_BO
0.1000000000,0.9833465324,3.1341924477,0.9823564980,2.0246014786,0.9798299593,1.6835497877,1.1079344824,0.9792943230
0.1007709974,0.9832199997,3.1341225815,0.9822219043,2.0244964695,0.9796762969,1.6833822784,1.1078841262,0.9791363181
0.1015479391,0.9830925200,3.1340524530,0.9820862950,2.0243906212,0.9795214781,1.6832137904,1.1078337224,0.9789771203
0.1023308711,0.9829640864,3.1339815903,0.9819496627,2.0242838025,0.9793654947,1.6830440851,1.1077828034,0.9788167209
0.1031198394,0.9828346919,3.1339098350,0.9818119998,2.0241763544,0.9792083379,1.6828726446,1.1077313049,0.9786551108
0.1039148907,0.9827043296,3.1338376617,0.9816732987,2.0240679359,0.9790499993,1.6826999933,1.1076793970,0.9784922812
0.1047160718,0.9825729925,3.1337646484,0.9815335518,2.0239588225,0.9788904701,1.6825261639,1.1076272813,0.9783282232
0.1055234300,0.9824406736,3.1336915827,0.9813927513,2.0238486862,0.9787297417,1.6823509729,1.1075747222,0.9781629276
0.1063370129,0.9823073657,3.1336173630,0.9812508896,2.0237379336,0.9785678052,1.6821744119,1.1075217607,0.9779963853
0.1071568685,0.9821730616,3.1335430908,0.9811079588,2.0236262107,0.9784046519,1.6819964747,1.1074683015,0.9778285872
0.1079830451,0.9820377543,3.1334675598,0.9809639510,2.0235136616,0.9782402728,1.6818171191,1.1074145861,0.9776595240
0.1088155916,0.9819014363,3.1333920288,0.9808188583,2.0234001160,0.9780746590,1.6816367274,1.1073604932,0.9774891865
0.1096545569,0.9817641005,3.1333157635,0.9806726728,2.0232859835,0.9779078015,1.6814548778,1.1073060903,0.9773175651
0.1104999907,0.9816257395,3.1332384491,0.9805253865,2.0231707954,0.9777396911,1.6812714615,1.1072510944,0.9771446505
0.1113519427,0.9814863459,3.1331606102,0.9803769911,2.0230545616,0.9775703188,1.6810869129,1.1071957654,0.9769704332
0.1122104633,0.9813459123,3.1330821943,0.9802274786,2.0229376984,0.9773996754,1.6809008896,1.1071400648,0.9767949036
0.1130756031,0.9812044311,3.1330030441,0.9800768409,2.0228197336,0.9772277515,1.6807134371,1.1070839416,0.9766180521
0.1139474130,0.9810618948,3.1329235268,0.9799250696,2.0227010350,0.9770545378,1.6805245299,1.1070273631,0.9764398689
0.1148259446,0.9809182958,3.1328429604,0.9797721564,2.0225812078,0.9768800250,1.6803343521,1.1069706272,0.9762603443
0.1157112496,0.9807736266,3.1327617645,0.9796180930,2.0224608040,0.9767042035,1.6801426186,1.1069131488,0.9760794684
0.1166033803,0.9806278793,3.1326799393,0.9794628709,2.0223392200,0.9765270639,1.6799493946,1.1068553344,0.9758972314
0.1175023893,0.9804810462,3.1325975895,0.9793064817,2.0222165871,0.9763485966,1.6797545106,1.1067969297,0.9757136232
0.1184083297,0.9803331196,3.1325146103,0.9791489167,2.0220932066,0.9761687919,1.6795582434,1.1067382001,0.9755286339
0.1193212548,0.9801840916,3.1324305820,0.9789901675,2.0219688067,0.9759876401,1.6793608229,1.1066793015,0.9753422532
0.1202412186,0.9800339543,3.1323462391,0.9788302253,2.0218433397,0.9758051314,1.6791617943,1.1066199006,0.9751544710
0.1211682752,0.9798826997,3.1322606373,0.9786690815,2.0217172432,0.9756212559,1.6789611943,1.1065599479,0.9749652771
0.1221024795,0.9797303198,3.1321747470,0.9785067272,2.0215899158,0.9754360038,1.6787588700,1.1064994045,0.9747746611
0.1230438864,0.9795768067,3.1320880830,0.9783431536,2.0214614868,0.9752493651,1.6785552667,1.1064386264,0.9745826127
0.1239925515,0.9794221521,3.1320004749,0.9781783517,2.0213322453,0.9750613296,1.6783500936,1.1063773642,0.9743891213
0.1249485309,0.9792663479,3.1319124602,0.9780123127,2.0212021506,0.9748718874,1.6781435224,1.1063158623,0.9741941764
0.1259118808,0.9791093859,3.1318233967,0.9778450276,2.0210708237,0.9746810281,1.6779350883,1.1062535566,0.9739977674
0.1268826581,0.9789512578,3.1317337036,0.9776764871,2.0209386444,0.9744887416,1.6777252992,1.1061909060,0.9737998837
0.1278609201,0.9787919554,3.1316432762,0.9775066822,2.0208054161,0.9742950175,1.6775139804,1.1061280152,0.9736005144
0.1288467244,0.9786314701,3.1315519047,0.9773356037,2.0206710339,0.9740998454,1.6773006800,1.1060643027,0.9733996487
0.1298401293,0.9784697937,3.1314601135,0.9771632423,2.0205357599,0.9739032148,1.6770861308,1.1060004247,0.9731972758
0.1308411933,0.9783069175,3.1313668537,0.9769895886,2.0203994370,0.9737051153,1.6768699779,1.1059360138,0.9729933846
0.1318499755,0.9781428331,3.1312735939,0.9768146333,2.0202619076,0.9735055362,1.6766520379,1.1058711287,0.9727879640
0.1328665353,0.9779775318,3.1311791801,0.9766383668,2.0201233292,0.9733044668,1.6764328880,1.1058059977,0.9725810031
0.1338909329,0.9778110051,3.1310837305,0.9764607797,2.0199840164,0.9731018964,1.6762113198,1.1057398480,0.9723724905
0.1349232285,0.9776432442,3.1309878284,0.9762818624,2.0198432612,0.9728978142,1.6759886223,1.1056735972,0.9721624149
0.1359634830,0.9774742402,3.1308911133,0.9761016052,2.0197017193,0.9726922092,1.6757640797,1.1056066935,0.9719507651
0.1370117579,0.9773039845,3.1307933164,0.9759199983,2.0195587611,0.9724850706,1.6755378766,1.1055394054,0.9717375295
0.1380681150,0.9771324682,3.1306947327,0.9757370321,2.0194150162,0.9722763873,1.6753098385,1.1054715852,0.9715226967
0.1391326166,0.9769596822,3.1305954933,0.9755526966,2.0192698288,0.9720661481,1.6750803856,1.1054034150,0.9713062551
0.1402053254,0.9767856176,3.1304953623,0.9753669819,2.0191237497,0.9718543419,1.6748490060,1.1053346597,0.9710881929
0.1412863048,0.9766102654,3.1303942871,0.9751798781,2.0189766216,0.9716409575,1.6746161323,1.1052655830,0.9708684985
0.1423756185,0.9764336164,3.1302925301,0.9749913750,2.0188282871,0.9714259834,1.6743813224,1.1051957280,0.9706471601
0.1434733308,0.9762556615,3.1301894617,0.9748014626,2.0186786610,0.9712094084,1.6741447483,1.1051255508,0.9704241657
0.1445795064,0.9760763915,3.1300859737,0.9746101306,2.0185279465,0.9709912208,1.6739063612,1.1050546878,0.9701995033
0.1456942107,0.9758957970,3.1299813843,0.9744173688,2.0183760583,0.9707714093,1.6736662160,1.1049834677,0.9699731609
0.1468175092,0.9757138687,3.1298758507,0.9742231670,2.0182231998,0.9705499620,1.6734242095,1.1049115900,0.9697451263
0.1479494684,0.9755305973,3.1297694778,0.9740275145,2.0180690956,0.9703268674,1.6731805269,1.1048393755,0.9695153873
0.1490901549,0.9753459732,3.1296622658,0.9738304011,2.0179136276,0.9701021137,1.6729349305,1.1047665533,0.9692839316
0.1502396361,0.9751599870,3.1295540047,0.9736318162,2.0177571172,0.9698756889,1.6726873613,1.1046931140,0.9690507468
0.1513979798,0.9749726291,3.1294450092,0.9734317491,2.0175993872,0.9696475812,1.6724382423,1.1046194331,0.9688158204
0.1525652542,0.9747838898,3.1293351746,0.9732301893,2.0174403000,0.9694177785,1.6721870280,1.1045449249,0.9685791399
0.1537415284,0.9745937594,3.1292238581,0.9730271258,2.0172801113,0.9691862687,1.6719341192,1.1044701783,0.9683406926
0.1549268715,0.9744022282,3.1291119319,0.9728225480,2.0171187687,0.9689530397,1.6716789244,1.1043944475,0.9681004658
0.1561213537,0.9742092863,3.1289990616,0.9726164449,2.0169561148,0.9687180792,1.6714221965,1.1043185463,0.9678584467
0.1573250452,0.9740149239,3.1288853455,0.9724088056,2.0167920971,0.9684813749,1.6711632369,1.1042418927,0.9676146224
0.1585380172,0.9738191310,3.1287701607,0.9721996191,2.0166270828,0.9682429144,1.6709027275,1.1041649013,0.9673689800
0.1597603412,0.9736218976,3.1286545432,0.9719888741,2.0164604950,0.9680026851,1.6706399380,1.1040872113,0.9671215063
0.1609920892,0.9734232136,3.1285374767,0.9717765597,2.0162928581,0.9677606746,1.6703754423,1.1040090919,0.9668721882
0.1622333340,0.9732230690,3.1284194726,0.9715626644,2.0161238050,0.9675168701,1.6701086505,1.1039302089,0.9666210125
0.1634841488,0.9730214535,3.1283006096,0.9713471770,2.0159534931,0.9672712590,1.6698404876,1.1038511343,0.9663679658
0.1647446073,0.9728183568,3.1281808090,0.9711300860,2.0157818699,0.9670238284,1.6695696380,1.1037711429,0.9661130348
0.1660147839,0.9726137687,3.1280597496,0.9709113800,2.0156089354,0.9667745654,1.6692969386,1.1036906592,0.9658562059
0.1672947536,0.9724076787,3.1279374281,0.9706910475,2.0154347420,0.9665234570,1.6690222973,1.1036096549,0.9655974656
