# alpha, E_train_mean_ridge, E_train_std_ridge, E_train_mean_L1, E_train_std_L1, E_train_mean_Hub, E_train_std_Hub
1.000000000000000056e-01,3.824747815611204138e-01,4.393599213431922945e-02,5.829366449498140090e-01,1.245702920590279622e-01,4.649377517605640664e-01,8.894105634710720854e-02
2.154434690031883370e-01,3.858818323414229257e-01,7.079186376320342755e-02,6.297601631220433038e-01,5.463954927083386481e-02,4.487385637021485962e-01,7.982339191698761827e-02
4.641588833612778631e-01,4.757685973292479220e-01,5.995867860850506714e-02,6.282169356789520931e-01,6.537953042907156120e-02,4.909527022258129980e-01,5.253310091458384540e-02
1.000000000000000000e+00,5.723703014912827625e-01,5.613328444600330230e-02,7.829414866229216230e-01,3.507568661162027007e-02,5.330756763562469747e-01,1.280401505378909489e-02
2.154434690031883370e+00,7.645015426142501846e-01,2.342252702475721912e-02,8.789114789756409252e-01,1.677404461622287318e-02,5.928742819584695845e-01,1.860578178782151121e-02
4.641588833612777520e+00,9.941192835317202992e-01,2.736758913604950272e-02,9.851596331890064562e-01,2.727580275726191120e-02,6.402770568815532304e-01,1.899695839815283144e-02
1.000000000000000000e+01,1.091896709186062520e+00,2.728257897509431956e-02,1.061930997696541867e+00,1.197779819660452737e-02,6.948782895873724108e-01,1.004326009537399346e-02
2.154434690031882127e+01,1.144809190325856374e+00,1.072833714132686092e-02,1.105691644464644074e+00,4.345914904626949939e-03,7.124755375299075544e-01,7.917625349019088987e-03
4.641588833612777165e+01,1.182373914613958465e+00,1.519192339128085448e-02,1.121826517916700627e+00,1.135282425588993171e-02,7.304611809810694911e-01,5.278609842408245670e-03
1.000000000000000000e+02,1.196536963820060029e+00,7.907135826777260401e-03,1.132016630698007287e+00,4.906704208681142258e-03,7.356982703835812654e-01,3.145594637568952315e-03
