# q,training_error,generalization_error,m,sigma,m_hat,q_hat,sigma_hat
1.000000000000000021e-02,8.483517682199870347e-01,8.239812595823619024e-01,9.300937020881902551e-02,8.468156635290154804e-03,1.098342581680790175e+01,1.881555061425751418e+01,1.397576085226467235e+01
1.003846299559431332e-02,8.482841352254874012e-01,8.236600722618447890e-01,9.318919536687478300e-02,8.483923159245171722e-03,1.098421020767071354e+01,1.881486811546341897e+01,1.397653160135959460e+01
1.007707393139163458e-02,8.482163836794121003e-01,8.233383336536508335e-01,9.336937013887043613e-02,8.499718090759930678e-03,1.098499610715001928e+01,1.881418430363765282e+01,1.397730381258249643e+01
1.011583337641430366e-02,8.481485133996297110e-01,8.230160429542519029e-01,9.354989521108121597e-02,8.515541477490591940e-03,1.098578351809626064e+01,1.881349917628508450e+01,1.397807748861730381e+01
1.015474190187328103e-02,8.480805242038437219e-01,8.226931993595746340e-01,9.373077127114932960e-02,8.531393367160343758e-03,1.098657244336483174e+01,1.881281273090618100e+01,1.397885263215228946e+01
1.019380008117659608e-02,8.480124159095949743e-01,8.223698020650027640e-01,9.391199900808690215e-02,8.547273807559475217e-03,1.098736288581608278e+01,1.881212496499689024e+01,1.397962924588006217e+01
1.023300848993775707e-02,8.479441883342613284e-01,8.220458502653806843e-01,9.409357911227854421e-02,8.563182846545414409e-03,1.098815484831531641e+01,1.881143587604869438e+01,1.398040733249757572e+01
1.027236770598426163e-02,8.478758412950594403e-01,8.217213431550156599e-01,9.427551227548432167e-02,8.579120532042761385e-03,1.098894833373281799e+01,1.881074546154860627e+01,1.398118689470614129e+01
1.031187830936610567e-02,8.478073746090436513e-01,8.213962799276813831e-01,9.445779919084233700e-02,8.595086912043367958e-03,1.098974334494382177e+01,1.881005371897912681e+01,1.398196793521140613e+01
1.035154088236432852e-02,8.477387880931059883e-01,8.210706597766207482e-01,9.464044055287176849e-02,8.611082034606367189e-03,1.099053988482853939e+01,1.880936064581826273e+01,1.398275045672336603e+01
1.039135600949959819e-02,8.476700815639791609e-01,8.207444818945487386e-01,9.482343705747540985e-02,8.627105947858208085e-03,1.099133795627218113e+01,1.880866623953954786e+01,1.398353446195639549e+01
1.043132427754082936e-02,8.476012548382355627e-01,8.204177454736553132e-01,9.500678940194273725e-02,8.643158699992744068e-03,1.099213756216491689e+01,1.880797049761197925e+01,1.398431995362919622e+01
1.047144627551382066e-02,8.475323077322863830e-01,8.200904497056088482e-01,9.519049828495246279e-02,8.659240339271238179e-03,1.099293870540192053e+01,1.880727341750003134e+01,1.398510693446485220e+01
1.051172259470993867e-02,8.474632400623858253e-01,8.197625937815589126e-01,9.537456440657549050e-02,8.675350914022429000e-03,1.099374138888336283e+01,1.880657499666368793e+01,1.398589540719080837e+01
1.055215382869483486e-02,8.473940516446275550e-01,8.194341768921393765e-01,9.555898846827770576e-02,8.691490472642577486e-03,1.099454561551440790e+01,1.880587523255839244e+01,1.398668537453886884e+01
1.059274057331719560e-02,8.473247422949466978e-01,8.191051982274715204e-01,9.574377117292282025e-02,8.707659063595517279e-03,1.099535138820523095e+01,1.880517412263507637e+01,1.398747683924521290e+01
1.063348342671751115e-02,8.472553118291215046e-01,8.187756569771672543e-01,9.592891322477514748e-02,8.723856735412692867e-03,1.099615870987100941e+01,1.880447166434009532e+01,1.398826980405038256e+01
1.067438298933691410e-02,8.471857600627739071e-01,8.184455523303317825e-01,9.611441532950255884e-02,8.740083536693213362e-03,1.099696758343195135e+01,1.880376785511531423e+01,1.398906427169931277e+01
1.071543986392600213e-02,8.471160868113674081e-01,8.181148834755678223e-01,9.630027819417910639e-02,8.756339516103902806e-03,1.099777801181326531e+01,1.880306269239800088e+01,1.398986024494129410e+01
1.075665465555373373e-02,8.470462918902097460e-01,8.177836496009773803e-01,9.648650252728815935e-02,8.772624722379336604e-03,1.099858999794519931e+01,1.880235617362088973e+01,1.399065772653001005e+01
1.079802797161634464e-02,8.469763751144537833e-01,8.174518498941664157e-01,9.667308903872494363e-02,8.788939204321890089e-03,1.099940354476302851e+01,1.880164829621216782e+01,1.399145671922352108e+01
1.083956042184629556e-02,8.469063362990968402e-01,8.171194835422469493e-01,9.686003843979967831e-02,8.805283010801795776e-03,1.100021865520705866e+01,1.880093905759544981e+01,1.399225722578427344e+01
1.088125261832127190e-02,8.468361752589816938e-01,8.167865497318407275e-01,9.704735144324030949e-02,8.821656190757176316e-03,1.100103533222264218e+01,1.880022845518975672e+01,1.399305924897910458e+01
1.092310517547318179e-02,8.467658918087964670e-01,8.164530476490825528e-01,9.723502876319532751e-02,8.838058793194103480e-03,1.100185357876016923e+01,1.879951648640957274e+01,1.399386279157923063e+01
1.096511871009722520e-02,8.466954857630772935e-01,8.161189764796236146e-01,9.742307111523679231e-02,8.854490867186631115e-03,1.100267339777508546e+01,1.879880314866475999e+01,1.399466785636027488e+01
