# q,gen_err_mean,gen_err_std,train_err_mean,train_err_std,iters_nb_mean,iters_nb_std
1.000000000000000056e-01,7.417751501385978496e-01,9.758885640603670586e-02,1.065842962099058600e+00,1.051003557187020765e-01,6.799999999999999822e+00,2.135415650406262245e+00
1.274274985703133800e-01,7.375805258063790060e-01,2.087191225835055841e-01,1.104666444814663473e+00,1.064769355951607765e-01,7.000000000000000000e+00,1.612451549659710048e+00
1.623776739188721729e-01,7.045437576468989160e-01,1.505182454353471144e-01,1.058141400254354769e+00,7.659293245011884743e-02,8.000000000000000000e+00,1.788854381999831711e+00
2.069138081114789696e-01,6.183050435462698058e-01,1.059617830039801534e-01,1.016859135810255443e+00,7.283792930554548739e-02,1.130000000000000071e+01,7.430343195303969139e+00
2.636650898730358294e-01,6.781531943020639996e-01,1.661054852391500303e-01,1.012450978551538761e+00,9.768825999727112630e-02,1.440000000000000036e+01,1.282341608152835555e+01
3.359818286283781652e-01,6.807484070680527299e-01,1.389016665760454405e-01,9.804444518630003325e-01,1.200867659737677867e-01,1.490000000000000036e+01,1.216922347563721907e+01
4.281332398719393528e-01,7.007519764135563545e-01,1.601370467767979366e-01,9.384437919685133522e-01,1.355150082072388851e-01,3.370000000000000284e+01,1.892643653728826081e+01
5.455594781168519036e-01,8.200992557492906565e-01,1.771726725835984506e-01,8.772103267529806070e-01,5.782737636655293362e-02,2.619999999999999929e+01,1.642437213411824715e+01
6.951927961775605791e-01,7.758709132145975573e-01,1.980756656965058093e-01,8.419327983039567309e-01,6.296595548217578941e-02,3.600000000000000000e+01,1.484587484791650880e+01
8.858667904100825385e-01,9.822585258015413823e-01,2.232089647425047896e-01,8.566893508550570413e-01,1.426540449318095538e-01,4.510000000000000142e+01,1.180211845390478942e+01
1.128837891684688843e+00,1.113247277263206714e+00,1.789450963637534420e-01,7.956889826184472270e-01,1.180206081134807239e-01,4.789999999999999858e+01,9.300000000000000711e+00
1.438449888287663070e+00,1.361855618812336521e+00,5.198025310908891417e-01,8.020426909508548974e-01,7.855267756578110383e-02,4.900000000000000000e+01,6.000000000000000000e+00
1.832980710832435634e+00,1.631309963302159272e+00,2.359035405891989068e-01,8.099816107471801141e-01,5.905823314047039391e-02,5.100000000000000000e+01,0.000000000000000000e+00
2.335721469090121349e+00,2.123599123165513802e+00,2.457186804368657607e-01,8.521066532305964225e-01,1.097969189237049253e-01,5.100000000000000000e+01,0.000000000000000000e+00
2.976351441631317485e+00,2.621541638662679752e+00,4.599569204376481868e-01,1.015918832067442379e+00,1.887235594905928016e-01,5.100000000000000000e+01,0.000000000000000000e+00
3.792690190732249889e+00,3.090079466551595821e+00,4.605340169600194988e-01,1.116320970768979404e+00,1.007792691427538967e-01,5.100000000000000000e+01,0.000000000000000000e+00
4.832930238571751858e+00,4.513542536177171272e+00,3.602462176529980242e-01,1.459128191092748050e+00,2.328204162073182204e-01,5.100000000000000000e+01,0.000000000000000000e+00
6.158482110660260744e+00,6.025183938055590716e+00,6.628139972318869422e-01,1.978065321515934283e+00,7.866041652388403582e-01,5.100000000000000000e+01,0.000000000000000000e+00
7.847599703514610781e+00,7.609778014081721054e+00,1.033383284425662740e+00,1.888181064526824660e+00,3.967561552349721521e-01,5.100000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+01,9.636456394525563240e+00,6.630805194409749026e-01,2.542069752546576744e+00,7.630740208181854278e-01,5.100000000000000000e+01,0.000000000000000000e+00
