# q,gen_err_mean,gen_err_std,train_err_mean,train_err_std,iters_nb_mean,iters_nb_std
1.000000000000000056e-01,7.709681204650959963e-01,1.017993802903091431e-02,1.085325537085424452e+00,4.497712477646477122e-03,5.333333333333333037e+00,4.714045207910316782e-01
1.274274985703133800e-01,7.473362060742960722e-01,2.215379373644985744e-02,1.067619491755905869e+00,9.731706779336320862e-03,6.000000000000000000e+00,0.000000000000000000e+00
1.623776739188721729e-01,7.459431715418026743e-01,2.248633090790268588e-02,1.043921318416470845e+00,8.495393482837501273e-03,6.500000000000000000e+00,5.000000000000000000e-01
2.069138081114789696e-01,7.216666496598547198e-01,2.421513889795697677e-02,1.018063682645009349e+00,9.401062512167985066e-03,7.000000000000000000e+00,0.000000000000000000e+00
2.636650898730358294e-01,7.092626345808218380e-01,1.160780010609502831e-02,9.849160751162008287e-01,5.857320197253621484e-03,8.000000000000000000e+00,0.000000000000000000e+00
3.359818286283781652e-01,7.143867206912984935e-01,1.605981011234880809e-02,9.513004630208136136e-01,1.511353702539021404e-02,9.000000000000000000e+00,0.000000000000000000e+00
4.281332398719393528e-01,7.191216860368694341e-01,2.528944519547050157e-02,9.187087178484438788e-01,1.122782263993880522e-02,1.016666666666666607e+01,3.726779962499648935e-01
5.455594781168519036e-01,7.479555963217224823e-01,1.579543113116090025e-02,8.827887240462556351e-01,8.788967358903412158e-03,1.216666666666666607e+01,3.726779962499648935e-01
6.951927961775605791e-01,8.101057179102428840e-01,1.937057556383934773e-02,8.394830925044104442e-01,6.512907337291277445e-03,1.483333333333333393e+01,3.726779962499649490e-01
8.858667904100825385e-01,8.874405832988198073e-01,1.238998031666639632e-02,8.182604831005880763e-01,7.733319136402904380e-03,1.783333333333333215e+01,1.067187372905475051e+00
1.128837891684688843e+00,1.037468296925154077e+00,3.137032150823385740e-02,7.894899076991039877e-01,6.505409116778381427e-03,2.200000000000000000e+01,5.773502691896257311e-01
1.438449888287663070e+00,1.240954574096616359e+00,2.535230355643092182e-02,7.637278145796358997e-01,3.184821780752208550e-03,3.066666666666666785e+01,1.247219128924647036e+00
1.832980710832435634e+00,1.526641199970366181e+00,1.888833271481586001e-02,7.366045002293991617e-01,1.518241488185212602e-02,4.400000000000000000e+01,1.732050807568877193e+00
2.335721469090121349e+00,1.946024038059529504e+00,4.050433517254885957e-02,7.377903897567916758e-01,4.120060145703504512e-02,1.673166666666666788e+04,3.723917952760087792e+04
2.976351441631317485e+00,2.528690236181668549e+00,4.281509006891248692e-02,7.153951766379439414e-01,5.482353930090798355e-03,3.385633333333333576e+04,4.677894645267486339e+04
3.792690190732249889e+00,3.243879220357294368e+00,7.758667858112337778e-02,7.973371684207828380e-01,6.917022286043655876e-02,1.000010000000000000e+05,0.000000000000000000e+00
4.832930238571751858e+00,4.251836783659549646e+00,1.998804786715503365e-02,9.660227127250409218e-01,4.629981493184216756e-02,1.000010000000000000e+05,0.000000000000000000e+00
6.158482110660260744e+00,5.473615919920244544e+00,9.063321718036412844e-02,1.188345133305086287e+00,2.262436918277960576e-02,1.000010000000000000e+05,0.000000000000000000e+00
7.847599703514610781e+00,7.097557256388243196e+00,1.264505672627324051e-01,1.445497888606316339e+00,7.447073234225964899e-02,1.000010000000000000e+05,0.000000000000000000e+00
1.000000000000000000e+01,9.337521191193838277e+00,3.459696849597734825e-02,1.818558562372990517e+00,1.050475206936949540e-01,1.000010000000000000e+05,0.000000000000000000e+00
