# q,gen_err_mean,gen_err_std,train_err_mean,train_err_std,iters_nb_mean,iters_nb_std
1.000000000000000056e-01,7.696795758538199639e-01,3.031958536292948814e-02,1.098069334138560560e+00,2.528703128830931540e-02,5.400000000000000355e+00,5.400000000000000355e+00
1.211527658628588494e-01,7.652265839740248765e-01,2.552920722777644522e-02,1.079535184591715602e+00,1.301076275801732983e-02,6.000000000000000000e+00,6.000000000000000000e+00
1.467799267622069415e-01,7.409605156671418280e-01,2.511092837059271735e-02,1.058138699791371318e+00,1.660764938386328007e-02,6.200000000000000178e+00,6.200000000000000178e+00
1.778279410038922925e-01,7.354616861165846897e-01,2.295919797638875520e-02,1.040989791565872569e+00,1.666858695732704315e-02,7.000000000000000000e+00,7.000000000000000000e+00
2.154434690031883370e-01,7.232312345786264807e-01,2.779174505903429446e-02,1.019555455143460687e+00,2.010142821113026015e-02,7.099999999999999645e+00,7.099999999999999645e+00
2.610157215682536447e-01,7.129895308982984181e-01,1.445969453507913415e-02,9.843036552128294758e-01,2.430791914362009920e-02,7.900000000000000355e+00,7.900000000000000355e+00
3.162277660168379412e-01,7.191081917812149893e-01,3.322647268640568918e-02,9.561812340973980806e-01,1.665465825594416097e-02,8.900000000000000355e+00,8.900000000000000355e+00
3.831186849557287055e-01,7.043939231464386719e-01,2.944179036771405258e-02,9.154490523987700579e-01,1.811918828746413024e-02,9.800000000000000711e+00,9.800000000000000711e+00
4.641588833612778631e-01,7.216994641647940245e-01,1.676787064748562484e-02,9.125773676386808031e-01,1.746356110949745175e-02,1.069999999999999929e+01,1.069999999999999929e+01
5.623413251903490728e-01,7.409594715509927321e-01,3.462088782693954064e-02,8.750899470103009614e-01,1.797282243606224128e-02,1.290000000000000036e+01,1.290000000000000036e+01
6.812920690579611360e-01,7.921227113275974840e-01,3.901146551240054772e-02,8.477787676084727053e-01,1.851577863028153192e-02,1.619999999999999929e+01,1.619999999999999929e+01
8.254041852680183977e-01,8.714218683227802353e-01,2.708981632309668749e-02,8.295618904416167672e-01,2.178062131795787532e-02,1.719999999999999929e+01,1.719999999999999929e+01
1.000000000000000000e+00,9.745910996438252871e-01,4.132532837863973907e-02,8.062058952895709840e-01,2.056214696216386237e-02,5.192999999999999545e+02,5.192999999999999545e+02
1.211527658628588133e+00,1.068863510046196508e+00,3.450075825690345627e-02,7.797100941743224656e-01,1.953461645724054174e-02,2.730000000000000071e+01,2.730000000000000071e+01
1.467799267622069026e+00,1.253484009425639201e+00,3.588852386981265796e-02,7.587884213679182421e-01,1.247186037547908660e-02,3.500000000000000000e+01,3.500000000000000000e+01
1.778279410038922759e+00,1.508768504508437580e+00,7.674306903258183710e-02,7.452370537112443794e-01,1.537504009459260586e-02,4.081999999999999886e+02,4.081999999999999886e+02
2.154434690031883370e+00,1.750611991271961099e+00,5.139403743597521779e-02,7.351172280850032381e-01,2.164768779526818690e-02,6.470000000000000000e+02,6.470000000000000000e+02
2.610157215682535892e+00,2.144493339124579734e+00,5.093276345819531398e-02,7.196370087341968924e-01,1.463654392675158011e-02,5.001000000000000000e+03,5.001000000000000000e+03
3.162277660168379523e+00,2.620142863467240346e+00,8.088239677607982070e-02,7.383041839579316257e-01,3.234820600119188427e-02,5.001000000000000000e+03,5.001000000000000000e+03
3.831186849557286944e+00,3.289135318208991521e+00,1.099164240643092372e-01,8.150986601285626909e-01,3.029193967350113717e-02,5.001000000000000000e+03,5.001000000000000000e+03
4.641588833612777520e+00,4.036812894608943658e+00,9.894210479430935734e-02,9.016318015535189634e-01,5.380254262184595154e-02,5.001000000000000000e+03,5.001000000000000000e+03
5.623413251903491172e+00,4.908585255906461775e+00,1.136300183793346602e-01,1.084363825844122164e+00,1.062391251014631333e-01,5.001000000000000000e+03,5.001000000000000000e+03
6.812920690579611360e+00,6.097356050862429377e+00,1.267719115915673656e-01,1.276239071091378019e+00,7.354881308509460258e-02,5.001000000000000000e+03,5.001000000000000000e+03
8.254041852680181535e+00,7.485650461470226169e+00,8.740370120328144754e-02,1.527795750998659496e+00,1.302777462408178655e-01,5.001000000000000000e+03,5.001000000000000000e+03
1.000000000000000000e+01,9.279237042515358524e+00,2.359379992639657753e-01,1.793122490393422863e+00,1.493955685128721678e-01,5.001000000000000000e+03,5.001000000000000000e+03
